2023-02-06 18:02:141 INFO  HomePage :71 - Click on OS software which you would like [[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //input[@id='product_attribute_4_8']]
2023-02-06 18:02:252 INFO  HomePage :76 - tick on software check box on which you would like [[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //input[@id='product_attribute_5_10']]
2023-02-06 18:02:365 INFO  HomePage :82 - click on add to card button[[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-02-06 18:02:229 INFO  HomePage :86 - Getting link from [[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //div[@class='bar-notification success']/p]
2023-02-06 18:02:409 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:424 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:798 INFO  HomePage :38 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //ul[@class='top-menu notmobile']/li//a[@href='/computers']]
2023-02-06 18:02:350 INFO  HomePage :48 - Click on desktop linkProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[@href='/desktops']'
2023-02-06 18:02:647 INFO  HomePage :51 - Click on build your computer linkProxy element for: DefaultElementLocator 'By.xpath: //div[@class='products-container']/div[2]/div/div/div[1]/div/div[2]/h2/a'
2023-02-06 18:02:738 INFO  HomePage :56 - Click on the processor from drop down[[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //select[@id='product_attribute_1']]
2023-02-06 18:02:882 INFO  HomePage :61 - Select ram from drop down[[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //select[@id='product_attribute_2']]
2023-02-06 18:02:970 INFO  HomePage :66 - click on HDD radio button[[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //input[@id='product_attribute_3_6']]
2023-02-06 18:02:74 INFO  HomePage :71 - Click on OS software which you would like [[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //input[@id='product_attribute_4_8']]
2023-02-06 18:02:154 INFO  HomePage :76 - tick on software check box on which you would like [[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //input[@id='product_attribute_5_10']]
2023-02-06 18:02:225 INFO  HomePage :82 - click on add to card button[[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-02-06 18:02:513 INFO  HomePage :86 - Getting link from [[ChromeDriver: chrome on WINDOWS (734ff6d2e9a51b73336c6237460175f3)] -> xpath: //div[@class='bar-notification success']/p]
2023-02-06 18:02:327 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:343 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:166 INFO  HomePage :38 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (8eb7b5ba3646cf777fc8d4506bcef5a3)] -> xpath: //ul[@class='top-menu notmobile']/li//a[@href='/computers']]
2023-02-06 18:02:190 INFO  HomePage :42 - getting text from[[ChromeDriver: chrome on WINDOWS (8eb7b5ba3646cf777fc8d4506bcef5a3)] -> xpath: //div[@class='center-2']//h1[contains(text(),'Computers')]]
2023-02-06 18:02:286 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
